anio,mes,sentido,total_veh_pagan,total_veh_exon,total_veh_eva
"2019","1","1","4953","39","0"
"2019","1","0","1680","6","0"
"2019","1","0","2975","10","0"
"2019","1","1","2989","10","0"
"2019","1","0","4064","23","0"
"2019","1","1","4120","22","0"
"2019","1","0","881","10","0"
"2019","1","1","960","7","0"
"2019","1","1","404","3","0"
"2019","1","0","388","3","0"
"2019","1","1","323","4","0"
"2019","1","0","620","9","0"
"2019","1","1","605","7","0"
"2019","1","0","1415","15","0"
"2019","1","1","1326","17","0"
"2019","1","2","716","0","0"
"2019","1","0","370","0","0"
"2019","1","1","346","0","0"
"2019","1","2","895","7","0"
"2019","1","0","454","1","0"
"2019","1","1","441","6","0"
"2019","1","2","327","11","0"
"2019","1","0","161","5","0"
"2019","1","1","166","6","0"
"2019","1","2","1468","10","0"
"2019","1","0","707","7","0"
"2019","1","1","761","3","0"
"2019","1","0","279","4","0"
"2019","1","1","271","3","0"
"2019","1","0","651","3","0"
"2019","1","1","673","4","0"
"2019","1","0","351","9","0"
"2019","1","1","376","7","0"
"2019","1","0","3436","51","0"
"2019","1","1","3296","53","0"
"2019","1","0","722","2","0"
"2019","1","1","672","1","0"
"2019","1","0","1495","1","0"
"2019","1","1","1473","0","0"
"2019","1","0","372","2","0"
"2019","1","1","494","4","0"
"2019","1","0","1956","3","0"
"2019","1","1","2190","3","0"
"2019","1","0","1219","10","0"
"2019","1","1","1235","9","0"
"2019","1","0","2949","5","0"
"2019","1","1","3552","7","0"
"2019","1","0","317","10","0"
"2019","1","1","405","9","0"
"2019","1","0","1189","7","0"
"2019","1","1","1121","6","0"
"2019","1","0","0","4046","0"
"2019","1","0","264","18","0"
"2019","1","1","258","17","0"
"2019","1","0","502","9","0"
"2019","1","1","456","6","0"
"2019","1","0","1396","15","0"
"2019","1","1","1409","16","0"
"2019","1","0","472","3","0"
"2019","1","1","0","563","0"
"2019","1","0","404","8","0"
"2019","1","1","484","4","0"
"2019","1","0","446","12","0"
"2019","1","1","485","11","0"
"2019","1","0","0","931","0"
"2019","1","1","1026","11","0"
"2019","1","0","226","2","0"
"2019","1","1","216","4","0"
"2019","1","0","2336","20","0"
"2019","1","1","2326","21","0"
"2019","1","0","3770","21","1"
"2019","1","1","3744","21","0"
"2019","1","0","1931","11","1"
"2019","1","1","1919","9","0"
"2019","1","0","1173","6","0"
"2019","1","0","1568","26","0"
"2019","1","0","2980","6","0"
"2019","1","1","2937","12","0"
"2019","1","0","2797","21","0"
"2019","1","1","2713","27","0"
"2019","1","0","4775","20","0"
