id,cod_enti," cod_ubi_inei",cod_pais ,uo_nombre ,fecha,CO,H2S,NO2,O3,PM10,PM2,SO2,Ruido,UV,Humedad,Latitud,Longitud,Presion,Temperatura
29,10069,150122,PE,Subgerencia de Desarrollo Ambiental,02/10/2020 4:00,0.00,0.00,75.55,0.00,53.61,11.90,7.20,95.07,0.00,99.30,-12.11,-77.05,100525.70,15.41
708,10069,150122,PE,Subgerencia de Desarrollo Ambiental,31/10/2020 0:00,0.00,0.00,95.51,0.00,202.41,26.48,7.23,80.63,0.00,93.47,-12.11,-77.05,1008.23,16.60
242,10069,150122,PE,Subgerencia de Desarrollo Ambiental,11/10/2020 14:00,0.00,0.00,53.67,2.97,19.96,8.64,8.39,97.25,1.49,84.07,-12.11,-77.05,100552.36,19.02
134,10069,150122,PE,Subgerencia de Desarrollo Ambiental,06/10/2020 15:00,0.00,0.00,57.77,0.24,15.77,6.01,8.36,102.00,0.66,81.68,-12.11,-77.05,100670.67,19.32
413,10069,150122,PE,Subgerencia de Desarrollo Ambiental,18/10/2020 17:00,0.00,0.00,82.18,0.00,91.32,13.14,8.21,88.75,0.38,84.27,-12.11,-77.05,100553.76,19.16
234,10069,150122,PE,Subgerencia de Desarrollo Ambiental,11/10/2020 6:00,0.00,0.00,91.79,0.00,71.25,15.84,7.22,95.14,0.00,99.30,-12.11,-77.05,100622.78,15.50
202,10069,150122,PE,Subgerencia de Desarrollo Ambiental,09/10/2020 22:00,0.00,0.00,100.11,0.00,41.73,10.68,7.22,90.32,0.00,95.50,-12.11,-77.05,100934.74,15.95
525,10069,150122,PE,Subgerencia de Desarrollo Ambiental,23/10/2020 9:00,0.00,0.00,90.28,0.00,61.07,14.19,7.47,102.28,0.54,95.35,-12.11,-77.05,100775.55,16.54
532,10069,150122,PE,Subgerencia de Desarrollo Ambiental,23/10/2020 16:00,0.00,0.00,102.66,0.00,34.17,10.13,7.93,101.31,0.81,85.94,-12.11,-77.05,100566.86,17.83
438,10069,150122,PE,Subgerencia de Desarrollo Ambiental,19/10/2020 18:00,0.00,0.00,121.20,0.00,133.45,17.58,7.46,104.76,0.08,88.53,-12.11,-77.05,100366.86,17.37
274,10069,150122,PE,Subgerencia de Desarrollo Ambiental,12/10/2020 22:00,0.00,0.00,103.96,0.00,65.51,13.54,7.25,100.26,0.00,96.87,-12.11,-77.05,100562.67,16.29
136,10069,150122,PE,Subgerencia de Desarrollo Ambiental,06/10/2020 22:00,0.00,0.00,93.92,0.00,63.99,13.83,7.20,91.85,0.00,94.31,-12.11,-77.05,100851.52,16.84
